,Job ID,Job Description,Title,Designation,Min Experience,Max Experience,Category ID,Job URL,Location,Company ID,Company Name,Recruiter ID,Recruiter Name,Recruiter Designation,Min Salary,Max Salary,Functional Area,Skills
0,1432749,"<p><p>Job Description :</p><p><br/></p><p>Were Haleon. A new world-leading consumer health company. Shaped by all who join us. Together, were improving everyday health for billions of people. By growing and innovating our global portfolio of category-leading brands including Sensodyne, Panadol, Advil, Voltaren, Theraflu, Otrivin, and Centrum through a unique combination of deep human understanding and trusted science. Whats more, were achieving it in a company that were in control of. In an environment that were co-creating. And a culture thats uniquely ours. Care to join us. It isnt a question.</p><p><br/></p><p>With category leading brands such as Sensodyne, Voltaren and Centrum, built on trusted science and human understanding, and combined with our passion, knowledge and expertise, were uniquely placed to do this and to grow a strong, successful business. This is an exciting time to join us and help shape the future. Its an opportunity to be part of something special.</p><p><br/></p><p>About the role :</p><p><br/></p><p>You will be working on the latest data platform technologies, and a part of a high-performing team fully committed to employee growth and development. If youre a skilled engineer who wants to build using the latest technology and acquire new skills in data and analytics, then come join our team.</p><p><br/></p><p>You will be integrating components, designing frameworks, and building reusable data solutions for Haleons Enterprise Data & Analytics Platform. You will enable faster acquisition, ingestion, and curation of analytical-ready datasets. </p><p><br/></p><p>This is very hands-on development role which includes developing & delivering code through from origin to production, ensure that code comes in on time, to quality and in line with the overall ecosystem being established.</p><p><br/></p><p>Job Description :</p><p><br/></p><p>The Data Engineer will directly contribute to the extensive and varied build and deployment activities involved in establishing the new platform then continue to work on the already significant and growing pipeline of future buildouts of platform services on the Enterprise Data & Analytics Platform.</p><p><br/></p><p>Key responsibilities :</p><p><br/></p><p>- Development : Hands on, sleeves up development and delivery expected as a matter of course. </p><p><br/></p><p>- Technical Architecture : Be conversant with technical architecture to contribute to design discussions in partnership with the Delivery/Development Lead and dedicated Analytics & Data Architect.</p><p><br/></p><p>- Quality, Risk & Compliance : Ensure all risk and issues associated with owned projects are recorded and managed in the appropriate Risk & Issue logs in a timely manner.</p><p><br/></p><p>- Ownership : Take ownership for the delivery/development projects and help steer until completion</p><p>Qualifications and skills</p><p><br/></p><p>Essential :</p><p><br/></p><p>- 5 to 9 years of experience in Data engineering and coding experience in the languages: PySpark, SQL, Spark etc.</p><p><br/></p><p>- Experience with the Azure data and analytics stack: Databricks, Data Factory, SQL DW, etc.</p><p><br/></p><p>- Seasoned coder and problem solver on big-data processing approaches and schema-on-read methodologies. </p><p><br/></p><p>- Preference for deep understanding of Spark, Databricks and Delta Lake, and applying them to solve data science and machine learning business problems.</p><p><br/></p><p>- Familiar deploying enterprise analytics solutions at scale with applicable services:</p><p>administration, qualification, and user access provisioning.</p><p><br/></p><p>- Experience with Agile delivery frameworks and tools: SAFe, Jira, Confluence, Azure DevOps, etc.</p><p><br/></p><p>- Experience with visualization tools and their application: developing reports, dashboards and KPI scorecards.</p><p><br/></p><p>- Experience integrating and supporting a variety of enterprise data tools: Ataccama, Talend, Collibra, Snowflake, StreamSets, etc.</p><p><br/></p><p>- Experience articulating business value of analytics projects and progressing solutions from MVP to scaled-up production solutions.</p><p><br/></p><p>- Ability to work in close partnership with groups across the IT organization (security, compliance, infrastructure, etc.) and business stakeholders in the commercial organizations.</p><p><br/></p><p>- MS/BS degree in Computer Science, Engineering, Data Science or equivalent experience, with preference on experience and proven track record. Ideal candidate would have an impressive hands-on work history in an advanced, recognized, and innovative environment.</p><p><br/></p><p>- Ideal candidate possesses great communication skills and the ability to communicate inherently complicated technical concepts to non-technical stakeholders of all levels.</p><p><br/></p><p><b>Note : If shortlisted, you will be invited for initial rounds on 1st March'25 (Saturday) in Bengaluru</b></p><ul></ul></p>",Haleon - Data Engineer - Azure Databricks/Data Factory ,Data Engineer,5,9,7,https://www.hirist.com/j/haleon-data-engineer-azure-databricksdata-factory-1432749.html,Bangalore,3348,Hirist,180511,Talent Bridge,HR,15,27,Data Analysis / Business Analysis,"Data Engineering, Data Pipeline, Data Architect, SQL, Azure Databricks, Azure Data Factory, Azure, Talend"
1,1434028,"<p>Job Summary :</p><p><br/></p><p>We are looking for a fresher Data Analyst to join our team. This role involves working with data using Excel and potentially SQL, focusing on organizing, analyzing, and presenting data insights. The ideal candidate will have strong analytical and communication skills, with the ability to explain data findings clearly.</p><p><br/></p><p>Key Responsibilities :</p><p><br/></p><p>- Data Organization : Format and organize data in Excel to ensure consistency and accuracy.</p><p><br/></p><p>- Data Analysis : Use basic functions and formulas in Excel to analyze data and generate insights.</p><p><br/></p><p>- Reporting : Support the preparation of data reports and dashboards, helping the team make data-driven decisions.</p><p><br/></p><p>- Communication : Clearly explain findings and data insights to team members and stakeholders.</p><p><br/></p><p>- Problem-Solving : Apply abstract thinking to identify patterns, trends, and key insights from data.</p><p><br/></p><p>Preferred Skills :</p><p><br/></p><p>- Excel Proficiency : Understanding of Excel formatting, data sorting, and formulas (like IF statements, pivot tables, etc.).</p><p><br/></p><p>- SQL Knowledge (preferred but not required) : Familiarity with basic SQL commands for data</p><p>retrieval.</p><p><br/></p><p>- Analytical Thinking : Ability to interpret data patterns and draw meaningful conclusions.</p><p><br/></p><p>- Clear Communication : Capable of explaining technical findings in a way thats easy to understand.</p><p><br/></p><p>Who Should Apply :</p><p><br/></p><p>- Educational Background : Recent graduates in BSc Statistics, BSc Maths, MSc Maths, BCA, or MCA.</p><p><br/></p><p>- Mindset : Motivated to learn, detail-oriented, and enjoys problem-solving.</p><p><br/></p><p>What We Offer :</p><p><br/></p><p>- Hands-on training with data tools and analysis methods.</p><p><br/></p><p>- A chance to work on real data projects that impact our business.</p><p><br/></p><p>- A supportive team environment for learning and growth.</p><p><br/></p><p>Work Location : Chenna</p>",Data Analyst ,Data Analyst,0,3,7,https://www.hirist.com/j/data-analyst-1434028.html,Chennai,2767,VIBRANTUM LABZ PRIVATE LIMITED,194867,swetha,hr,6,12,Data Analysis / Business Analysis,"Data Analyst, Data Analytics, SQL, Reporting Tools, Dashboard Design, Excel"
2,1433670,"<p>Job Title : Data Analyst<br/><br/>Experience : 6 months to 2 years<br/><br/>Work Mode : Hybrid - Onsite at Gurugram<br/><br/>Work Type : Contract 8 to 10 months<br/><br/><b>About the Role :</b><br/><br/>We are looking for a candidate with experience in management of large datasets, secondary research and data analysis. This role will help manage and deliver some of the the client's flagship data products, specifically related to city data, requiring the ability to manage and analyse data collected across over hundreds of cities and thousands of data points. The candidate must possess excellent research, data management and data analysis skills, along with a knowledge of economic data sources and contribute to the development of client's city products.<br/><br/>Responsibilities :<br/><br/>- Provide administrative, data management and data cleaning support to our city-based survey process<br/><br/>- Help in managing and analysing large datasets and databases to protect and enhance the quality of the city-level data for all of our existing city-based products<br/><br/>- Use the quality check analytics to identify issues with the data, troubleshoot them and ensure the quality of the published data<br/><br/>- Assist in project research, data collection, analysis and preparation of presentations<br/><br/>- Manage the query desk, responding to queries directly related to the data and methodology from both internal and external clients<br/><br/>- Support upgradation of existing processes, as per business requirements, working under the supervision of seniors and assist with automating project delivery as required<br/><br/>- Develop quality assurance through regular, rigorous and efficient data checks<br/><br/>- Collaborate with wider teams - editorial, digital, business development, etc. for product management and bespoke projects in multiple locations<br/><br/>- Support a diverse range of bespoke projects, in particular on data collection, data cleaning, and analytics, working under the supervision of project leads<br/><br/>Must Have :<br/><br/>- An advanced degree in economics, applied econometrics, applied economics, business economics.<br/><br/>- Good understanding of macroeconomic time series data, common transformations and features of such data eg: trends, seasonality, stationarity etc.<br/><br/>- Advanced Excel skills - experience with formula auditing, manipulating and cleaning large data sets in excel, knowledge of advanced functions like VLookup/HLookup, Match, Offset, Index, Indirect, Nested If-Then-Else and similar<br/><br/>- Good understanding of G Suite apps, especially Google Sheets for data management and collaboration.<br/><br/>- Proficiency in Python, with experience using key libraries such as Pandas, NumPy, and Matplotlib for data wrangling and analysis<br/><br/>- Basic understanding of SQL to query databases<br/><br/>- Proficiency with Git and GitHub for version control, collaboration, and repository management<br/><br/>Good to Have :<br/><br/>- Experience with AWS services, including S3 and Athena<br/><br/>- Understanding of Command Line Interface (CLI) for managing cloud or local environments</p>",Data Analyst ,Data Analyst,0,2,7,https://www.hirist.com/j/data-analyst-1433670.html,Gurgaon/Gurugram,0,Creencia Technologies Pvt Ltd,57068,Aruna,Talent Acquisition Specialist,7,8,Data Analysis / Business Analysis,"Data Analyst, Data Analytics, Data Management, Python, Pandas, Numpy, Data Wrangling, SQL, Version Control System, AWS"
3,1434327,"<p>Job Description :</p><p><br/></p><p>Our Client works with a variety of clients from start-ups to fortune 500 companies. We are looking for a detailed oriented self-starter to assist our engineering and analytics teams in various roles as a Software Development Engineer.<br/><br/>This position will be a part of a growing team working towards building world class large scale Big Data architectures. This individual should have a sound understanding of programming principles, experience in programming in Java, Python or similar languages and can expect to spend a majority of their time coding.<br/><br/>Responsibilities :<br/><br/>- Good development practices<br/><br/>- Hands on coder with good experience in programming languages like Java, Python or Scala.<br/><br/>- Hands-on experience on the Big Data stack like Hadoop, Mapreduce, Spark, Hbase, and ElasticSearch.<br/><br/>- Good understanding of programming principles and development practices like checkin policy, unit testing, code deployment<br/><br/>- Self starter to be able to grasp new concepts and technology and translate them into large scale engineering developments<br/><br/>- Excellent experience in Application development and support, integration development and data management.<br/><br/>Qualifications :</p><p><br/></p><p>- BTech/Master a computer Science or related technical discipline is required<br/><br/>- 2-10+ Years of track record of relevant work experience<br/><br/>- Experience with functional and object-oriented programming, Java, Python or Scala is a must.<br/><br/>- Hands-on experience on the Big Data stack like Hadoop, Mapreduce, Spark, Hbase, and ElasticSearch.<br/><br/>- Good understanding on AWS services and experienced in working with API's, microservices.<br/><br/>- Effective communication skills (both written and verbal<br/><br/>- Ability to collaborate with a diverse set of engineers, data scientists and product managers<br/><br/>- Comfort in a fast-paced start-up environment <br/><br/>Preferred Qualification :</p><p><br/></p><p>- Experience in agile methodology<br/><br/>- Experience with database modeling and development, data mining and warehousing.<br/><br/>- Experience in architecture and delivery of Enterprise scale applications and capable in developing framework, design patterns etc. </p><p><br/></p><p>- Should be able to understand and tackle technical challenges, propose comprehensive solutions and guide junior staff<br/><br/>- Experience working with large, complex data sets from a variety of sources</p>",Data Engineer - Python/Spark ,Data Engineer,2,10,7,https://www.hirist.com/j/data-engineer-pythonspark-1434327.html,Bangalore,0,Fidius Advisory,132726,Priyanka Mohan,Consultant,8,30,Data Engineering,"Data Engineering, Python, Spark, Scala, Data Modeling, Data Analytics, Big Data, Hadoop"
4,1433114,"<p>Job Description :<br/><br/>- We are seeking a highly skilled Data/ML Engineer with 8-10 years of experience to join our offshore team.<br/><br/>- The ideal candidate will have expertise in data engineering, machine learning, and big data technologies, working with large-scale data processing systems.<br/><br/>- This role requires strong programming skills and experience with modern data architectures, AI/ML frameworks, and real-time data streaming solutions.<br/><br/>- The candidate should be comfortable working in evening shifts (up to 12 AM IST) and collaborating with global teams.<br/><br/>Key Responsibilities :<br/><br/>- Design, develop, and maintain scalable ETL workflows and data pipelines.<br/><br/>- Implement and optimize large-scale data processing using Apache Spark, Databricks, and Data Lake solutions.<br/><br/>- Develop and deploy machine learning models using TensorFlow, PyTorch/Keras, and LLMs.<br/><br/>- Work with Kafka, Kafka Streams, and Redis for real-time data streaming and processing.<br/><br/>- Ensure data quality, integrity, and security across data pipelines.<br/><br/>- Collaborate with cross-functional teams to define architectural patterns and data strategies.<br/><br/>- Build and maintain APIs, microservices, and backend solutions using Spring Boot.<br/><br/>- Optimize SQL/NoSQL databases, including Delta Lake, for high-performance data storage and retrieval.<br/><br/>- Leverage Jupyter Notebooks for ML model experimentation and development.<br/><br/>- Stay updated with the latest AI/ML advancements and data engineering best practices.<br/><br/>Required Skills & Qualifications :<br/><br/>Programming Languages: Proficiency in Java, Python, and Apache Spark.<br/><br/>Data Engineering: Expertise in ETL workflows, Data Lakes, Databricks, and large-scale data processing.<br/><br/>AI/ML: Strong experience in TensorFlow, PyTorch/Keras, transformers, LLMs, and model deployment.<br/><br/>Big Data Technologies: Hands-on experience with SQL/NoSQL databases, Redis, Kafka, Delta Lake, and Kafka Streams.<br/><br/>Architectural Patterns & Best Practices: Strong understanding of data architecture, distributed systems, and data quality management.<br/><br/>Tools & Platforms: Experience with Jupyter Notebooks, cloud-based ML pipelines, and scalable data infrastructures.<br/><br/>Preferred Skills :<br/><br/>- Experience in real-time data processing and distributed computing environments.<br/><br/>- Ability to innovate and adapt to emerging technologies and best practices in Data & AI.<br/><br/>- Strong problem-solving skills and the ability to collaborate with global teams.<br/><br/>Why Join Us ?<br/><br/>- Opportunity to work on cutting-edge AI/ML and big data projects.<br/><br/>- Work with a globally distributed team in a dynamic and innovative environment.<br/><br/>- Competitive compensation and career growth opportunities.<br/></p>",Data Engineer - Machine Learning ,Data Engineer,7,10,7,https://www.hirist.com/j/data-engineer-machine-learning-1433114.html,Bangalore,0,Interon IT Solutions,212071,Charan Reddy,US IT Recruiter,20,30,Data Engineering,"Machine Learning, Data Engineering, ETL, Azure Databricks, Tensorflow, LLM"
5,1434627,"<p><b>About the job :</b><br/><br/>The ideal candidate will use their passion for big data and analytics to provide insights to the business covering a range of topics. They will be responsible for conducting both recurring and ad hoc analysis for business users.<br/><br/><b>Responsibilities :</b><br/><br/>- Analyzing complex datasets, providing data-driven insights, and optimizing data workflows.<br/><br/>- improving the performance of data processing tasks and ensuring scalable solutions <br/><br/>- develop, validate, and maintain data pipelines and ETL processes.<br/><br/>- collaborate with cross-functional teams to understand data requirements and translate them into technical solutions.<br/><br/>- perform data cleaning, transformation, and validation to ensure high data quality.<br/><br/><b>Qualifications: </b><br/><br/>- Mandatory - Bachelor's degree in CS, Engineering, Statistics (preferrably from a #Tier 1 college) <br/><br/>- 2+ years of experience in a data analysis or similar role. <br/><br/>- Strong knowledge of data structures and algorithms <br/><br/>- Proficiency in Python or R <br/><br/>- Experience with SQL and database management <br/><br/>- Understanding of data visualization tools (Tableau, Power BI, or similar) <br/><br/>- Familiarity with big data tools and technologies (e.g., Hadoop, Spark)</p>",Zingbus - Data Analyst - R/Python ,Data Analyst,2,4,7,https://www.hirist.com/j/zingbus-data-analyst-rpython-1434627.html,Gurgaon/Gurugram,0,Zingbus Technology Pvt Ltd,172404,Zingbus Technology Pvt Ltd,HR,6,15,Data Analysis / Business Analysis,"SQL, R, Python, Data Analyst, Data Analytics, Tableau, Power BI, Data Visualization"
6,1432492,"<p>Job Description :</p><p><br/></p><p>- Having 5 + years of working experience in Data Engineering and Data Analytic projects in implementing Data Warehouse, Data Lake and Lakehouse and associated ETL/ELT patterns.<br/><br/>- Worked as a Data Modeller in one or two implementations in creating and implementing Data models and Data Base designs using Dimensional, ER models.<br/><br/>- Good knowledge and experience in modelling complex scenario's like many to many relationships, SCD types, Late arriving fact and dimensions etc.<br/><br/>- Hands on experience in any one of the Data modelling tools like Erwin, ER/Studio, Enterprise Architect or SQLDBM etc.<br/><br/>- Experience in working closely with Business stakeholders/Business Analyst to understand the functional requirements and translating it into Data Models and database designs.<br/><br/>- Experience in creating conceptual models and logical models and translating it into physical models to address the both functional and non functional requirements.<br/><br/>- Strong knowledge in SQL, able to write complex queries and profile the data to understand the relationships and DQ issues.<br/><br/>- Very strong understanding of database modelling and design principles like normalization, denormalization, isolation levels.<br/><br/>- Experience in Performance optimizations through database designs (Physical Modelling).<br/><br/>- Good communication skills</p>",Data Modeler - ETL/Erwin ,Data Modeler,5,15,7,https://www.hirist.com/j/data-modeler-etlerwin-1432492.html,Anywhere in India/Multiple Locations,0,XANDER CONSULTING AND ADVISORY PRIVATE LIMITED,177514,Abhishek.S.V,Human Resources Executive,35,45,Data Engineering,"Data Modeling, Erwin, Data Warehousing, ETL, DataLake, SQL, Business Analyst"
7,1432719,"<p>Job Title : Data Engineer</p><p><br/></p><p>Company : Skellam AI Pvt Ltd</p><p><br/></p><p>Summary : </p><p><br/></p><p>Skellam AI Pvt Ltd is seeking an experienced Data Engineer proficient in designing and implementing scalable data pipelines in distributed environments. The ideal candidate will have strong skills in Python, PySpark, and cloud platforms (AWS, Azure, GCP) to develop efficient and reliable data infrastructure solutions.</p><p><br/></p><p>Responsibilities : </p><p><br/></p><p>- Design, build, and maintain robust data pipelines and ETL processes using PySpark and other big data technologies.</p><p><br/></p><p>- Optimize data processing workflows for cost-effectiveness, performance, and scalability.</p><p><br/></p><p>- Implement data engineering best practices for data quality, reliability, and accessibility.</p><p><br/></p><p>- Deploy and manage data solutions on cloud platforms (AWS, Azure, GCP), ensuring security, scalability, and compliance.</p><p><br/></p><p>- Develop and automate logging, monitoring, and alerting mechanisms to ensure data pipeline health and performance.</p><p><br/></p><p>- Collaborate with cross-functional teams including data scientists, analysts, and business stakeholders to understand data requirements and deliver solutions.</p><p><br/></p><p>- Prototype and implement new technologies and tools to enhance data infrastructure and analytics capabilities.</p><p><br/></p><p>Qualifications : </p><p><br/></p><p>- Bachelors degree in Computer Science, Engineering, or a related field.</p><p><br/></p><p>- Minimum 4+ years of experience programming and developing applications using Python.</p><p><br/></p><p>- Expertise in distributed computing frameworks such as PySpark for big data processing.</p><p><br/></p><p>- Strong understanding of cloud platforms (AWS, Azure, GCP) and their services for data storage, compute, </p><p>and analytics.</p><p><br/></p><p>- Experience with designing and optimizing cost-effective and performance-improved data pipelines.</p><p><br/></p><p>- Proficiency in SQL and working with both relational (PostgreSQL, MySQL, Microsoft SQL Server) and non-relational databases (MongoDB, Cassandra, Redis).</p><p><br/></p><p>- Familiarity with containerization (Docker, Kubernetes) and orchestration tools.</p><p><br/></p><p>- Experience with logging, monitoring, and alerting tools (e.g., ELK Stack, Prometheus, Grafana).</p><p><br/></p><p>- Excellent problem-solving skills with the ability to analyze complex data issues and provide solutions efficiently.</p><p><br/></p><p>- Knowledge in REST API services</p><p><br/></p><p>Preferred Skills : </p><p><br/></p><p>- Knowledge of streaming data processing frameworks (e.g., Apache Kafka, Spark Streaming).</p><p><br/></p><p>- Familiarity with machine learning frameworks and deployment (e.g., TensorFlow, PyTorch).</p><p><br/></p><p>- Certification in cloud platforms (AWS Certified Solutions Architect, Microsoft Azure Certifications, Google Cloud Professional Cloud Architect).</p><p><br/></p><p><b>Note : If shortlisted, you will be invited for initial rounds on 1st March'25 (Saturday) in Bengaluru</b></p>",Skellam - Data Engineer - ETL/SQL ,Data Engineer,4,8,7,https://www.hirist.com/j/skellam-data-engineer-etlsql-1432719.html,Bangalore,3348,Hirist,180511,Talent Bridge,HR,12,24,Data Engineering,"Data Engineering, Data Pipeline, ETL, Big Data, PySpark, Data Quality, SQL, Data Management"
8,1431496,"<p>Education Criteria : Bachelor or Masters degree in Computer Science or Engineering Mathematics, Industrial</p><p>Engineering, or Management.</p><p><br/></p><p>Responsibilities :</p><p><br/></p><p>- Data Analysis & Reporting</p><p><br/></p><p>- Problem Solving & Analytics</p><p><br/></p><p>- Communication & Stakeholder Management</p><p><br/></p><p>- Database Management & Programming,Data Modeling & Mining</p><p><br/></p><p>- 7-10 years experience in data analysis, designing, reports development</p><p><br/></p><p>- Strong interest in the latest relevant tools and technologies</p><p><br/></p><p>- Strong analytical and problem solving capabilities</p><p><br/></p><p>- Excellent communication skills</p><p><br/></p><p>- Knowledge of latest analytics developments/trends.</p><p><br/></p><p>- Database management system programming (e.g. Oracle, Microsoft SQL Server)</p><p><br/></p><p>- User interface and query software</p><p><br/></p><p>- Agile methodologies</p><p><br/></p><p>- Predictive modeling, NLP and text analysis</p><p><br/></p><p>- Data modeling tools (e.g. ERWin, Enterprise Architect and Visio)</p><p><br/></p><p>- Data mining</p><p><br/></p><p>- ETL tools</p><p><br/></p><p>- UNIX, Linux, Solaris and MS Windows</p><p><br/></p><p>- Hadoop and NoSQL databases</p><p><br/></p><p>- Data visualization</p><p><br/></p><p>- Should have experience in Insurance Domain</p><p><br/></p><p>- Should have machine learning experience</p><p><br/></p><p>- Must be expert in PowerBI reports development.</p><p><br/></p><p>- Insurance Financial Services, Insurance/Finance/banking domain experience is a Must</p>",Data Analyst - Power BI ,Data Analyst,7,10,7,https://www.hirist.com/j/data-analyst-power-bi-1431496.html,Remote,0,Renoirce,80396,Ahemad,HR,21,30,Data Analysis / Business Analysis,"Data Analyst, Data Analytics, ETL Tools, NLP, Erwin, Hadoop, NoSQL, Power BI, Data Visualization, Reporting Tools, Data Modeling"
9,1431445,"<p>About the job<br/><br/>Position Title : Senior Operations Data Lead<br/><br/>Experience : 6 Years to 10 Years<br/><br/>Location : Hyderabad, Telangana<br/><br/>Hire Type : Full Time, On-site<br/><br/>Start Date : Immediate<br/><br/>Overview :<br/><br/>- The Operations Data Delivery Lead is responsible for managing and overseeing the efficient delivery of data within the organization.<br/><br/>- This role ensures that data operations and delivery processes are streamlined, optimized, and aligned with business goals.<br/><br/>- The position combines technical expertise, project management, and operational leadership to ensure the timely and accurate delivery of data, while driving improvements in data flow and integration.<br/><br/> Role & Responsibilities :<br/><br/>- Lead and oversee day-to-day data delivery operations, ensuring smooth and timely data flow between departments, teams, and external partners.<br/><br/>- Collaborate with business and technical teams to define data requirements, set priorities, and establish delivery schedules.<br/><br/>- Manage data pipelines and ETL (Extract, Transform, Load) processes, ensuring data quality and integrity.<br/><br/>- Perform data validation to ensure accuracy and consistency of results.<br/><br/>- Utilize SQL to extract data from relational databases and other data sources.<br/><br/>- Analyze and interpret data using SQL queries to identify trends, patterns, and insights.<br/><br/>- Generate regular reports using SQL and other reporting tools.<br/><br/>- Ensure data integrity and accuracy by conducting data quality checks.<br/><br/>- Collaborate with business teams to understand their data needs and provide tailored solutions.<br/><br/> Required Skills :<br/><br/>- Strong proficiency in SQL with the ability to write complex queries for data extraction and analysis.<br/><br/>- Solid analytical and problem-solving skills, with attention to detail.<br/><br/>- Excellent communication and presentation skills to convey technical findings to non-technical stakeholders<br/></p>",Data Unveil - Senior Data Operations Lead ,Senior Data Operations Lead,6,10,7,https://www.hirist.com/j/data-unveil-senior-data-operations-lead-1431445.html,Hyderabad,0,Data Unveil,205633,Data Unveil ,HR,18,25,IT Management / IT Support,"IT Operations, ETL, SQL, DB, RDBMS"
